date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:39	109/109	---M-Z	200	added ('OK')	text/plain	date:Fri,%2019%20May%202023%2004:05:39%20GMT	https://htmlbeans.com/robots.txt		(from )
09:35:39	53095/53095	---M-Z	200	added ('OK')	text/html	etag:%22cf67-64369a60-d81d8601185f8057;gz%22	https://htmlbeans.com/html/scavvios/?storefront=envato-elements	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/index04b9.html	(from )
09:35:40	110004/110004	---M-Z	200	added ('OK')	text/css	etag:%221adb4-64369a60-75d4687bf8bca0c5;gz%22	https://htmlbeans.com/html/scavvios/style.css	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/style.css	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:40	652274/652274	---M-Z	200	added ('OK')	text/css	etag:%229f3f2-64369a60-fba7cf2208c34aae;gz%22	https://htmlbeans.com/html/scavvios/css/bootstrap.css	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/css/bootstrap.css	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:40	810/810	---M-Z	200	added ('OK')	text/css	etag:%2232a-64369a60-1df0016024c02914;gz%22	https://htmlbeans.com/html/scavvios/css/colors.css	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/css/colors.css	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:40	5717/5717	---M-Z	200	added ('OK')	text/css	etag:%221655-64369a60-df0b343058eaad38;gz%22	https://htmlbeans.com/html/scavvios/css/responsive.css	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/css/responsive.css	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20May%202023%2004:05:40%20GMT	https://htmlbeans.com/html/scavvios/=%22index.html%22	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/=_index.html_	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:41	26500/26500	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202023%2004:05:41%20GMT	https://htmlbeans.com/html/scavvios/=%22index.html	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/=_index.html	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:42	3275/3275	---M--	200	added ('OK')	image/png	etag:%22ccb-64369a60-a0c9264f6cf5c6be;;;%22	https://htmlbeans.com/html/scavvios/images/logo.png	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/logo.png	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20May%202023%2004:05:42%20GMT	https://htmlbeans.com/html/scavvios/=%22javascript:void(0);%22	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/=_javascript_void(0);_	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:42	26511/26511	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202023%2004:05:42%20GMT	https://htmlbeans.com/html/scavvios/=%22javascript:void(0	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/=_javascript_void(0	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:43	38207/38207	---M--	200	added ('OK')	image/jpeg	etag:%22953f-64369a60-b37d3bd5b051440e;;;%22	https://htmlbeans.com/html/scavvios/images/img01.jpg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/img01.jpg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:43	1744/1744	---M-Z	200	added ('OK')	image/svg+xml	etag:%226d0-64369a60-f76a73aa659fcfe5;gz%22	https://htmlbeans.com/html/scavvios/images/ico01.svg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/ico01.svg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:43	1266/1266	---M-Z	200	added ('OK')	image/svg+xml	etag:%224f2-64369a60-a7fc05e767fbd8e8;gz%22	https://htmlbeans.com/html/scavvios/images/ico02.svg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/ico02.svg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:44	1633/1633	---M-Z	200	added ('OK')	image/svg+xml	etag:%22661-64369a60-ab470d377aaee0a2;gz%22	https://htmlbeans.com/html/scavvios/images/ico03.svg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/ico03.svg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:44	1745/1745	---M-Z	200	added ('OK')	image/svg+xml	etag:%226d1-64369a60-a71f5cc944d7ad71;gz%22	https://htmlbeans.com/html/scavvios/images/ico04.svg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/ico04.svg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:45	47977/47977	---M--	200	added ('OK')	image/jpeg	etag:%22bb69-64369a60-a9e231cba33eb3a2;;;%22	https://htmlbeans.com/html/scavvios/images/img03.jpg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/img03.jpg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
09:35:45	24713/24713	---M--	200	added ('OK')	image/jpeg	etag:%226089-64369a60-855d5bc68f00f56c;;;%22	https://htmlbeans.com/html/scavvios/images/img02.jpg	D:/templates/prrallax%20portfolio/htmlbeans.com/html/scavvios/images/img02.jpg	(from https://htmlbeans.com/html/scavvios/?storefront=envato-elements)
